UnitID,Institution Name,Number of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA2122_RV),Average amount Pell grant aid awarded to undergraduate students (SFA2122_RV),Percent of undergraduates  who are formally registered as students with disabilities  when percentage is more than 3 percent (IC2021_RV),
219259,Northern State University,1175,41,6261,4723,4,
230913,Northern Vermont University,1168,78,11339,4507,,
239512,Northland College,520,98,28415,4525,24,
377546,Northwest College of Art & Design,88,86,13574,4871,,
236133,Northwest University,739,95,22181,4514,5,
207306,Northwestern Oklahoma State University,1387,87,7661,4755,,
230995,Norwich University,2415,81,37683,4927,,
368452,Nossi College of Art and Design,220,81,2663,2554,,
207403,Oklahoma Baptist University,1398,98,23419,4815,,
207324,Oklahoma Christian University,1650,89,17764,4908,,
207458,Oklahoma City University,1344,94,20392,4816,,
207388,Oklahoma State University-Main Campus,17559,87,10124,4999,5,
206835,Oklahoma Wesleyan University,719,92,15884,4399,,
232982,Old Dominion University,11318,61,8858,4733,8,
207582,Oral Roberts University,2989,75,18660,5034,12,
209506,Oregon Institute of Technology,2855,60,6826,4813,,
209542,Oregon State University,15794,57,8117,4146,,
440828,Oregon State University-Cascades Campus,634,61,8443,4177,4,
227331,Our Lady of the Lake University,1156,95,21874,4848,6,
422695,Pacific College,321,53,6791,492,,
439862,Pacific Islands University,74,100,7036,6495,,
236230,Pacific Lutheran University,2304,97,33815,4964,11,
209603,Pacific Northwest College of Art,380,98,24339,4908,13,
209612,Pacific University,1580,91,30892,4885,14,
451927,Patrick Henry College,351,92,13891,,,
227429,Paul Quinn College,382,97,15443,5640,,
214892,Penn Commercial Business/Technical School,133,50,5919,4921,,
214971,Pennsylvania Academy of the Fine Arts,119,98,25119,4947,16,
215053,Pennsylvania College of Art and Design,221,100,10576,4968,8,
442356,Pennsylvania College of Health Sciences,1271,75,7739,3465,,
215442,Point Park University,2516,99,21212,4883,11,
241395,Pontifical Catholic University of Puerto Rico-Arecibo,359,99,6858,5079,4,
243586,Pontifical Catholic University of Puerto Rico-Mayaguez,705,100,7425,5545,,
241410,Pontifical Catholic University of Puerto Rico-Ponce,4436,99,7389,5479,9,
205027,Pontifical College Josephinum,4,13,9105,5208,,
209807,Portland State University,10669,60,8819,4485,9,
227526,Prairie View A & M University,7645,90,10843,5075,,
218539,Presbyterian College,932,94,35080,4839,10,
219295,Presentation College,430,78,13978,4873,5,
455770,Providence Christian College,123,100,24675,5305,,
217402,Providence College,3084,74,32002,4908,9,
241766,Puerto Rico Conservatory of Music,246,76,5261,4930,,
243780,Purdue University-Main Campus,17194,45,9819,4910,7,
384421,Rabbi Jacob Joseph School,79,85,12088,7571,,
233277,Radford University,5786,89,8896,5086,,
207157,Randall University,257,91,9953,4785,,
233301,Randolph College,482,100,26899,4886,14,
233295,Randolph-Macon College,1477,98,31528,4704,14,
209922,Reed College,872,56,44943,5053,24,
231651,Regent University,3261,72,7906,5359,6,
217420,Rhode Island College,3496,67,6629,4405,8,
217493,Rhode Island School of Design,787,39,33758,5433,6,
221351,Rhodes College,1905,93,35050,5105,17,
227757,Rice University,2692,63,48958,5273,7,
233338,Richard Bland College,706,26,4062,4079,,
239628,Ripon College,793,98,38188,4636,6,
233408,Riverside College of Health Careers,159,49,3526,3526,5,
233426,Roanoke College,1840,99,32295,4853,9,
215655,Robert Morris University,2861,95,19722,4476,6,
217518,Roger Williams University,3080,73,20320,4932,14,
215682,Rosedale Technical College,401,83,11091,5731,,
215691,Rosemont College,259,62,14759,4869,,
449506,SABER College,171,91,5288,5288,,
216047,Saint Charles Borromeo Seminary-Overbrook,4,9,6139,3903,,
227845,Saint Edward's University,2727,95,33882,4847,12,
