instnm,FIPS state code (HD2023),State abbreviation (HD2023),Full-time undergraduate students are enrolled (IC2023),Full time first-time degree/certificate-seeking undergraduate students enrolled (IC2023),Member of National Collegiate Athletic Association (NCAA) (IC2023),NCAA/NAIA member for football (IC2023),NCAA/NAIA member for basketball (IC2023),NCAA/NAIA member for baseball (IC2023),NCAA/NAIA member for cross country/track (IC2023),Open admission policy (IC2023),Total price for in-state students living on campus 2023-24 (DRVIC2023),Total price for out-of-state students living on campus 2023-24 (DRVIC2023),Percent admitted - total (DRVADM2023),Admissions yield - total (DRVADM2023),Full-time retention rate  2023 (EF2023D),Undergraduate enrollment (DRVEF2023),Graduation rate  total cohort (DRVGR2023),Percent of full-time first-time undergraduates awarded any financial aid (SFA2223),Percent of full-time first-time undergraduates awarded institutional grant aid (SFA2223),Admission test scores (ADM2023),Applicants total (ADM2023),Admissions total (ADM2023),Enrolled full time total (ADM2023),Percent of first-time degree/certificate-seeking students submitting SAT scores (ADM2023),Published out-of-state tuition and fees 2023-24 (IC2023_AY),Books and supplies 2023-24 (IC2023_AY),Published in-state tuition and fees 2023-24 (IC2023_AY),In-state average tuition for full-time undergraduates (IC2023_AY),Out-of-state average tuition for full-time undergraduates (IC2023_AY),Number of programs offered (IC2023_PY),Books and supplies 2023-24 (IC2023_PY),Full time total (EF2023  All students  Undergraduate total),Full time men (EF2023  All students  Undergraduate total),Full time women (EF2023  All students  Undergraduate total)
American Institute of Healthcare & Technology,9,CT,1,1,-2,2,2,2,2,1,,,,,85,94,100,94,0,,,,,,,,,,,7,1750,70,3,67
American Institute of Massage Therapy,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,100,17,97,17,0,,,,,,,,,,,2,900,17,4,13
American Institute of Medical Sciences & Education,34,NJ,1,1,-2,2,2,2,2,1,,,,,88,397,81,39,0,,,,,,,,,,,16,1250,100,11,89
American Institute-Cherry Hill,34,NJ,1,1,-2,-2,-2,-2,-2,1,,,,,60,400,,100,1,,,,,,,,,,,5,0,260,62,198
American Institute-Clifton,34,NJ,1,1,-2,2,2,2,2,1,,,,,73,735,54,100,3,,,,,,,,,,,6,0,468,80,388
American Institute-Somerset,34,NJ,1,1,-2,2,2,2,2,1,,,,,61,274,47,100,6,,,,,,,,,,,6,0,163,37,126
American Institute-Toms River,34,NJ,1,1,-2,2,2,2,2,1,,,,,57,463,46,100,4,,,,,,,,,,,6,0,301,72,229
American Institute-West Hartford,9,CT,1,1,-2,2,2,2,2,1,,,,,75,396,56,100,0,,,,,,,,,,,7,0,254,19,235
American InterContinental University System,4,AZ,1,1,0,2,2,2,2,1,,,,,20,6830,21,83,14,,,,,,12310,400,12310,11650,11650,,,6416,2465,3951
American InterContinental University-Atlanta,13,GA,1,1,0,2,2,2,2,1,,,,,35,670,21,85,23,,,,,,13416,1200,13416,12756,12756,,,566,161,405
American InterContinental University-Houston,48,TX,1,1,0,2,2,2,2,1,,,,,50,124,45,67,33,,,,,,14842,1200,14842,14182,14182,,,94,33,61
American International College,25,MA,1,1,1,1,1,1,1,2,62300,62300,97,13,68,1331,42,98,98,3,2258,2188,275,,42970,1200,42970,41970,41970,,,1066,534,532
American Islamic College,17,IL,1,1,0,2,2,2,2,2,,,100,100,0,6,,100,100,5,3,3,2,0,7650,600,7650,7500,7500,,,2,0,2
American Jewish University,6,CA,1,2,0,2,2,2,2,-2,,,,,,117,31,,,,,,,,,,,9734,9734,,,29,2,27
American Massage & Bodywork Institute,51,VA,1,1,-2,-2,-2,-2,-2,1,,,,,,105,74,86,0,,,,,,,,,,,1,895,105,29,76
American Medical Academy,12,FL,1,1,0,2,2,2,2,1,,,,,55,303,72,2,0,,,,,,,,,,,6,570,229,184,45
American Medical Sciences Center,6,CA,1,1,0,2,2,2,2,1,,,,,75,200,100,83,0,,,,,,,,,,,2,670,200,5,195
American Musical and Dramatic Academy,36,NY,1,1,0,2,2,2,2,2,65760,65760,25,24,75,1502,72,100,100,3,6580,1626,387,,45560,1200,45560,45260,45260,,,1502,424,1078
American National University,51,VA,1,1,0,2,2,2,2,1,,,,,71,643,26,100,0,,,,,,10735,936,10735,10735,10735,,,265,70,195
American National University-Pikeville,21,KY,1,1,0,2,2,2,2,1,,,,,0,240,50,100,0,,,,,,11484,936,11484,11484,11484,,,136,16,120
American Public University System,54,WV,1,1,0,2,2,2,2,1,,,,,94,40478,53,97,75,,,,,,8400,0,8400,8400,8400,,,3294,1804,1490
American River College,6,CA,1,1,0,2,2,2,2,1,,,,,72,29908,33,84,8,,,,,,12808,1152,1288,0,11520,,,4936,2357,2579
American Trade School,29,MO,1,1,0,2,2,2,2,1,,,,,77,140,64,81,0,,,,,,,,,,,3,3144,140,135,5
American University,11,DC,1,1,1,2,1,2,1,2,76175,76175,47,22,86,7817,78,82,62,5,17786,8427,1848,26,56543,1000,56543,55724,55724,,,7533,2752,4781
American University of Health Sciences,6,CA,1,1,0,2,2,2,2,2,,,100,100,,364,50,,,3,1,1,1,,24575,1500,24575,21420,21420,,,364,91,273
Americare Technical School,17,IL,1,1,-2,-2,-2,-2,-2,2,,,93,100,,28,,29,0,3,30,28,0,,20500,2698,20500,18750,18750,,,,,
AMG School of Nursing,36,NY,1,1,0,2,2,2,2,1,,,,,85,570,75,100,0,,,,,,,,,,,2,2820,570,49,521
Amherst College,25,MA,1,1,1,1,1,1,1,2,87640,87640,10,39,97,1910,93,65,58,5,12727,1250,488,38,67280,1000,67280,66650,66650,,,1910,883,1027
Amridge University,1,AL,1,2,0,2,2,2,2,1,,,,,,226,40,,,,,,,,,,,9480,9480,,,129,50,79
Ana G. Mendez University,12,FL,1,1,0,2,2,2,2,1,,,,,63,4915,,0,0,,,,,,13575,2010,13575,11850,11850,,,3007,726,2281
Anabaptist Mennonite Biblical Seminary,18,IN,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Anderson University,18,IN,1,1,1,1,1,1,1,2,52590,52590,53,10,70,1095,49,100,99,5,5661,3024,307,56,35640,1500,35640,34590,34590,,,1017,500,517
Anderson University,45,SC,1,1,1,2,1,1,1,2,51030,51030,53,34,82,3413,71,99,99,5,4732,2499,849,45,33580,600,33580,32710,32710,,,2993,1097,1896
Andrew College,13,GA,1,1,0,2,2,2,2,2,37612,37612,51,27,38,294,27,95,93,3,780,399,107,,19126,1500,19126,19126,19126,,,221,106,115
Andrews University,26,MI,1,1,0,2,2,2,2,2,45960,45960,87,24,83,1312,66,96,94,5,1286,1124,255,39,33710,1100,33710,32400,32400,,,1157,553,604
Angeles College,6,CA,1,1,0,2,2,2,2,1,,,,,50,484,97,78,0,,,,,,,,,,,7,556,474,120,354
Angeles Institute,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,83,132,48,86,41,,,,,,,,,,,3,2176,132,26,106
Angelina College,48,TX,1,1,0,2,2,2,2,1,20739,22149,,,52,3896,27,91,33,,,,,,6150,1200,4740,3450,4860,,,1319,480,839
Angelo State University,48,TX,1,1,1,1,1,1,1,2,25189,35269,79,39,72,9623,41,96,59,5,4660,3692,1423,46,18399,1200,8319,4495,14575,,,5059,2192,2867
Ann Webb Skin Institute,48,TX,1,1,-2,-2,-2,-2,-2,1,,,,,,181,84,49,0,,,,,,,,,,,2,1775,181,2,179
Anna Maria College,25,MA,1,1,1,1,1,1,2,2,63374,63374,90,7,62,995,40,99,98,5,3965,3551,248,1,43064,1000,43064,40332,40332,,,832,493,339
Anne Arundel Community College,24,MD,1,1,0,2,2,2,2,1,,,,,68,11158,25,41,9,,,,,,11330,600,8186,6984,10128,,,2929,1400,1529
Annenberg School of Nursing,6,CA,1,1,-2,-2,-2,-2,-2,2,,,80,38,,24,100,100,100,3,30,24,9,,,,,,,1,1575,24,7,17
Anoka Technical College,27,MN,1,1,0,2,2,2,2,1,,,,,64,1822,56,73,2,,,,,,6267,1460,6267,5692,5692,,,819,494,325
Anoka-Ramsey Community College,27,MN,1,1,0,2,2,2,2,1,,,,,62,7843,24,71,7,,,,,,5682,1200,5682,4942,4942,,,2620,1125,1495
Another Level Barbering and Cosmetology School,51,VA,1,1,-2,-2,-2,-2,-2,1,,,,,100,77,,100,0,,,,,,,,,,,4,1388,28,12,16
Antelope Valley Community College District,6,CA,1,1,0,2,2,2,2,1,,,,,,12937,31,47,0,,,,,,8228,900,1124,1104,8208,,,3909,1755,2154
Antigua College International,12,FL,1,1,0,2,2,2,2,1,,,,,,266,,100,0,,,,,,26700,565,26700,26400,26400,,,266,52,214
Antioch College,39,OH,1,1,0,2,2,2,2,2,50383,50383,82,17,61,127,26,100,100,5,251,205,35,0,37143,1200,37143,35949,35949,,,127,47,80
Antioch University,39,OH,1,2,0,2,2,2,2,-2,,,,,,107,,,,,,,,,,,,16164,16164,,,56,15,41
Antioch University-Los Angeles,6,CA,1,2,0,2,2,2,2,-2,,,,,,61,,,,,,,,,,,,16050,16050,,,22,9,13
Antioch University-New England,33,NH,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Antioch University-Santa Barbara,6,CA,1,2,0,2,2,2,2,-2,,,,,,52,,,,,,,,,,,,19260,19260,,,14,6,8
Antioch University-Seattle,53,WA,1,2,0,2,2,2,2,-2,,,,,,81,,,,,,,,,,,,19260,19260,,,17,6,11
Antioch University-System Administration,39,OH,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
AOMA Graduate School of Integrative Medicine,48,TX,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Aparicio-Levy Technical College,12,FL,1,1,-2,-2,-2,-2,-2,1,,,,,57,310,87,36,0,,,,,,,,,,,5,197,137,105,32
Apex Academy Hair Skin Nails School of Cosmetology,39,OH,1,1,-2,-2,-2,-2,-2,1,,,,,53,16,93,49,0,,,,,,,,,,,2,900,16,0,16
Apex College of Veterinary Technology,8,CO,1,1,0,2,2,2,2,1,,,,,50,30,67,100,0,,,,,,13850,500,13850,13500,13500,,,22,2,20
Apex Technical School,36,NY,1,1,-2,-2,-2,-2,-2,1,,,,,63,1300,80,52,31,,,,,,,,,,,6,491,956,932,24
Apollo Career Center,39,OH,1,1,-2,-2,-2,-2,-2,1,,,,,66,527,74,81,1,,,,,,,,,,,25,65,130,36,94
Appalachian Beauty School,21,KY,1,1,-2,-2,-2,-2,-2,1,,,,,100,43,65,76,0,,,,,,,,,,,1,960,43,2,41
Appalachian Bible College,54,WV,1,1,0,2,2,2,2,2,31664,31664,99,77,85,215,76,100,100,1,70,69,53,34,18230,1326,18230,16280,16280,,,159,89,70
Appalachian College of Pharmacy,51,VA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Appalachian School of Law,51,VA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Appalachian State University,37,NC,1,1,1,1,1,1,1,2,23324,40320,89,20,85,19405,73,70,45,5,24001,21275,4212,10,24537,800,7541,4242,21238,,,18120,7939,10181
Applied Technology Services,29,MO,1,1,-2,-2,-2,-2,-2,2,,,36,100,50,152,9,97,0,3,22,8,8,,,,,,,1,1900,152,11,141
Aquinas College,26,MI,1,1,0,2,1,1,1,2,53710,53710,71,18,74,1209,63,100,100,5,2291,1628,295,48,38520,2098,38520,37720,37720,,,1135,478,657
Aquinas Institute of Theology,29,MO,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Arapahoe Community College,8,CO,1,1,0,2,2,2,2,1,,,,,,13978,27,49,5,,,,,,16542,2200,4308,3940,16174,,,2524,1122,1402
Arcadia University,42,PA,1,1,1,2,1,1,1,2,67140,67140,79,8,81,1890,64,100,100,5,6688,5296,415,12,48290,1500,48290,47590,47590,,,1582,566,1016
Arclabs,45,SC,1,1,-2,-2,-2,-2,-2,1,,,,,88,643,78,85,0,,,,,,,,,,,4,950,395,347,48
Arizona Academy of Beauty,4,AZ,1,1,-2,-2,-2,-2,-2,1,,,,,75,49,38,95,11,,,,,,,,,,,3,1175,49,2,47
Arizona Board of Regents,4,AZ,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Christian University,4,AZ,1,1,0,1,1,1,1,2,56087,56087,74,40,55,1210,41,98,96,3,1251,931,374,,34697,1730,34697,32497,32497,,,1057,634,423
Arizona College of Nursing-Aurora,8,CO,1,1,0,2,2,2,2,2,,,100,32,,212,,,,3,99,99,24,,23760,,23760,22480,22480,,,117,13,104
Arizona College of Nursing-Cincinnati,39,OH,1,1,0,2,2,2,2,2,,,100,40,,65,,,,3,40,40,10,,23760,,23760,22480,22480,,,29,1,28
Arizona College of Nursing-Cleveland,39,OH,1,1,0,2,2,2,2,2,,,100,19,,84,,,,3,48,48,4,,23760,0,23760,22480,22480,,,29,2,27
Arizona College of Nursing-Dallas,48,TX,1,1,0,2,2,2,2,2,,,100,38,64,383,,100,0,3,72,72,18,,23760,,23760,22480,22480,,,230,33,197
Arizona College of Nursing-Falls Church,51,VA,1,1,0,2,2,2,2,2,,,100,48,55,284,,100,0,3,40,40,13,,23760,,23760,22480,22480,,,146,11,135
Arizona College of Nursing-Fort Lauderdale,12,FL,1,1,0,2,2,2,2,2,,,,,79,412,,100,0,3,0,,,,25973,,25973,24693,24693,,,284,25,259
Arizona College of Nursing-Las Vegas,32,NV,1,1,0,2,2,2,2,2,,,100,60,84,1185,75,88,0,3,52,52,27,,22426,,22426,21146,21146,,,802,107,695
Arizona College of Nursing-Ontario,6,CA,1,1,0,2,2,2,2,2,,,100,100,92,279,,100,0,3,1,1,1,,30133,,30133,28853,28853,,,170,24,146
Arizona College of Nursing-Phoenix,4,AZ,1,1,0,2,2,2,2,2,,,100,49,87,1062,,100,0,3,70,70,29,,24853,,24853,23573,23573,,,794,94,700
Arizona College of Nursing-Salt Lake City,49,UT,1,1,0,2,2,2,2,2,,,100,33,94,323,,100,0,3,86,86,21,,22586,,22586,21306,21306,,,231,17,214
Arizona College of Nursing-Sarasota,12,FL,1,1,0,2,2,2,2,2,,,100,40,,98,,100,0,3,35,35,13,,23093,,23093,21813,21813,,,66,6,60
Arizona College of Nursing-Southfield,26,MI,1,1,0,2,2,2,2,2,,,100,41,70,415,,100,0,3,108,108,30,,23760,,23760,22480,22480,,,274,20,254
Arizona College of Nursing-Tampa,12,FL,1,1,0,2,2,2,2,2,,,100,34,67,337,,100,0,3,32,32,8,,23093,,23093,21813,21813,,,223,26,197
Arizona College of Nursing-Tempe,4,AZ,1,1,0,2,2,2,2,2,,,100,55,76,1246,9,100,0,3,71,71,30,,24853,,24853,23573,23573,,,972,124,848
Arizona College of Nursing-Tucson,4,AZ,1,1,0,2,2,2,2,2,,,100,31,75,566,,100,0,3,54,54,15,,23760,,23760,22480,22480,,,423,50,373
Arizona College-Glendale,4,AZ,1,1,0,2,2,2,2,1,,,,,64,306,86,97,0,,,,,,18835,,18835,18810,18810,,,306,41,265
Arizona College-Mesa,4,AZ,1,1,-2,-2,-2,-2,-2,1,,,,,65,133,87,96,0,,,,,,18835,,18835,18810,18810,,,133,13,120
Arizona Culinary Institute,4,AZ,1,1,-2,-2,-2,-2,-2,1,,,,,85,157,85,85,65,,,,,,,,,,,1,1805,157,90,67
Arizona School of Acupuncture and Oriental Medicine,4,AZ,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Arizona School of Integrative Studies,4,AZ,1,1,-2,-2,-2,-2,-2,1,,,,,,161,82,80,0,,,,,,,,,,,1,800,107,24,83
Arizona State University Campus Immersion,4,AZ,1,1,1,1,1,1,1,2,33270,53412,90,23,85,65174,68,93,85,3,68840,62084,13987,,32193,1320,12051,11308,31450,,,59707,30494,29213
Arizona State University Digital Immersion,4,AZ,1,2,1,1,1,1,1,2,,,64,57,,49310,,,,3,8263,5297,5,,,,,11308,13512,,,19358,6437,12921
Arizona Western College,4,AZ,1,1,0,2,2,2,2,1,19528,26338,,,68,8038,25,99,16,,,,,,9830,2000,3020,2820,9630,,,2147,918,1229
Arkansas Baptist College,5,AR,1,1,0,1,1,1,1,1,23060,23060,,,21,373,8,99,9,,,,,,8760,1000,8760,8760,8760,,,326,244,82
Arkansas Beauty College,5,AR,1,1,-2,-2,-2,-2,-2,1,,,,,57,56,70,70,0,,,,,,,,,,,3,1750,36,0,36
Arkansas Beauty School-Little Rock,5,AR,1,1,-2,-2,-2,-2,-2,1,,,,,71,111,35,90,0,,,,,,,,,,,4,2000,111,1,110
Arkansas Colleges of Health Education,5,AR,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Arkansas Northeastern College,5,AR,1,1,0,2,2,2,2,1,,,,,64,1451,21,100,32,,,,,,4250,807,2850,2380,3780,,,387,127,260
Arkansas State University,5,AR,1,1,1,1,1,1,1,2,26226,32298,70,30,78,8760,55,96,87,5,8019,5587,1505,3,13826,1250,7754,7176,13248,,,5310,2208,3102
Arkansas State University Mid-South,5,AR,1,1,0,2,2,2,2,1,,,,,77,1021,50,96,59,,,,,,4560,1460,3552,3552,4560,,,155,63,92
Arkansas State University System,5,AR,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas State University Three Rivers,5,AR,1,1,0,2,2,2,2,1,,,,,59,2028,35,92,68,,,,,,4168,1500,3568,2616,3216,,,436,157,279
Arkansas State University-Beebe,5,AR,1,1,0,2,2,2,2,1,19177,21001,,,63,3010,38,87,39,,,,,,5040,1200,3216,2736,4560,,,1383,542,841
Arkansas State University-Mountain Home,5,AR,1,1,0,2,2,2,2,1,,,,,60,1284,50,92,19,,,,,,4632,1600,3168,2616,4080,,,509,223,286
Arkansas State University-Newport,5,AR,1,1,0,2,2,2,2,1,18642,20106,,,75,1732,42,86,15,,,,,,4320,600,2856,2568,4008,,,679,238,441
Arkansas Tech University,5,AR,1,1,1,1,1,1,1,2,23694,29688,96,31,71,8808,49,94,75,5,4904,4722,1373,2,14502,1240,8508,5995,11989,,,4940,2175,2765
Arkansas Technical School,5,AR,1,1,-2,-2,-2,-2,-2,1,,,,,67,111,50,100,0,,,,,,,,,,,6,2000,111,64,47
Arkansas Welding Academy,5,AR,1,1,-2,-2,-2,-2,-2,1,,,,,96,74,80,90,0,,,,,,,,,,,1,11097,74,67,7
Arlington Baptist University,48,TX,1,1,0,2,2,2,2,1,33784,33784,,,44,268,5,98,82,,,,,,19290,1600,19290,14833,14833,,,261,163,98
Arlington Career Institute,48,TX,1,1,-2,2,2,2,2,1,,,,,75,439,78,56,0,,,,,,,,,,,9,1378,439,29,410
Arnolds Beauty School,47,TN,1,1,-2,-2,-2,-2,-2,1,,,,,94,63,60,100,100,,,,,,,,,,,1,1225,63,0,63
Arnot Ogden Medical Center,36,NY,1,1,0,2,2,2,2,2,,,100,100,100,29,80,100,33,3,3,3,1,,,,,,,2,2720,2,1,1
Arrojo Cosmetology School,36,NY,1,1,-2,-2,-2,-2,-2,1,,,,,86,107,77,77,0,,,,,,,,,,,3,2500,65,15,50
Art Academy of Cincinnati,39,OH,1,1,0,2,2,2,2,2,54925,54925,33,16,62,255,44,100,100,5,1056,350,57,0,40250,1500,40250,35203,35203,,,245,56,189
Art Center College of Design,6,CA,1,1,0,2,2,2,2,2,,,75,32,82,2079,83,70,65,3,1339,1004,322,,51640,4000,51640,50606,50606,,,1844,734,1110
Arthur's Beauty College,5,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2220,67,2,65
Arthur's Beauty College,5,AR,1,1,-2,-2,-2,-2,-2,1,,,,,69,47,22,83,8,,,,,,,,,,,2,2220,65,2,63
Arthur's Beauty College,5,AR,1,1,-2,-2,-2,-2,-2,1,,,,,71,65,60,83,3,,,,,,,,,,,,,,,
Arthur's Beauty College,5,AR,1,1,-2,-2,-2,-2,-2,1,,,,,52,67,54,83,7,,,,,,,,,,,2,2220,47,1,46
Artisan Academy of Cosmetology,18,IN,1,1,-2,2,2,2,2,1,,,,,95,42,85,0,0,,,,,,,,,,,2,3372,42,0,42
Artistic Academy of Hair Design,34,NJ,1,1,-2,-2,-2,-2,-2,1,,,,,89,93,94,92,92,,,,,,,,,,,3,2600,93,3,90
Artistic Nails and Beauty Academy-Lakeland,12,FL,1,1,-2,-2,-2,-2,-2,1,,,,,88,192,75,82,0,,,,,,,,,,,7,1228,50,10,40
Artistic Nails and Beauty Academy-Tampa,12,FL,1,1,-2,-2,-2,-2,-2,1,,,,,76,299,75,44,0,,,,,,,,,,,7,1228,91,24,67
Asbury Theological Seminary,21,KY,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Asbury University,21,KY,1,1,1,2,1,1,1,2,47990,47990,64,36,84,1638,65,100,100,3,1550,993,356,,33640,1462,33640,33072,33072,,,1224,489,735
Ascent College,51,VA,1,1,0,2,2,2,2,1,,,,,,87,50,,,,,,,,7680,730,7680,7680,7680,,,1,0,1
Asher College,6,CA,1,1,0,2,2,2,2,1,,,,,20,699,86,75,19,,,,,,,,,,,23,680,19,9,10
Asher Institute of Hampton,51,VA,1,1,-2,-2,-2,-2,-2,1,,,,,100,118,45,100,0,,,,,,,,,,,3,1700,81,29,52
Asheville-Buncombe Technical Community College,37,NC,1,1,0,2,2,2,2,1,,,,,43,6297,32,100,4,,,,,,9026,2000,2882,2432,8576,,,1407,597,810
Ashford University,6,CA,1,1,0,2,2,2,2,1,,,,,31,24949,9,100,100,,,,,,13160,1150,13160,12240,12240,,,24949,9887,15062
Ashland Community and Technical College,21,KY,1,1,0,2,2,2,2,1,,,,,69,2559,59,97,20,,,,,,6192,1228,4656,4464,6000,,,1050,486,564
Ashland County-West Holmes Career Center,39,OH,1,1,-2,-2,-2,-2,-2,1,,,,,100,35,86,67,0,,,,,,,,,,,9,4053,28,15,13
Ashland University,39,OH,1,1,1,1,1,1,1,2,44378,44378,81,18,72,3123,61,100,98,5,3633,2927,513,2,28910,912,28910,25200,25200,,,1980,883,1097
Ashtabula County Technical and Career Campus,39,OH,1,1,-2,-2,-2,-2,-2,1,,,,,55,161,49,72,0,,,,,,,,,,,13,1082,86,5,81
ASI Career Institute,34,NJ,1,1,-2,-2,-2,-2,-2,1,,,,,,33,94,70,0,,,,,,,,,,,5,500,33,3,30
Asian-American International Beauty College,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,95,413,87,26,0,,,,,,,,,,,4,200,407,71,336
Asnuntuck Community College,9,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspen Beauty Academy of Laurel,24,MD,1,1,-2,-2,-2,-2,-2,1,,,,,100,118,56,88,0,,,,,,,,,,,1,2975,80,3,77
Aspen University,4,AZ,1,1,0,2,2,2,2,1,,,,,,2398,,,,,,,,,6264,1500,6264,6210,6210,,,252,30,222
ASPIRA City College,42,PA,1,1,0,2,2,2,2,2,,,100,100,50,14,0,100,0,3,3,3,3,,12147,1203,12147,11997,11997,,,10,6,4
Assabet Valley Regional Technical School,25,MA,1,1,-2,-2,-2,-2,-2,2,,,33,100,78,48,50,22,11,3,27,9,9,,,,,,,1,2479,48,5,43
Associated Barber College of San Diego,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,88,116,76,80,0,,,,,,,,,,,5,1000,105,90,15
Associated Beth Rivkah Schools,36,NY,1,1,0,2,2,2,2,2,,,100,92,64,289,74,88,22,3,97,97,88,,9700,300,9700,9700,9700,,,263,0,263
Associated Technical College-Los Angeles,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,61,159,92,100,0,,,,,,,,,,,1,,159,50,109
Associated Technical College-San Diego,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,,77,84,89,0,,,,,,,,,,,2,250,77,38,39
Assumption College for Sisters,34,NJ,1,1,0,2,2,2,2,1,14158,14158,,,100,35,100,0,0,,,,,,5773,135,5773,6000,6000,,,20,0,20
Assumption University,25,MA,1,1,1,1,1,1,1,2,67360,67360,87,12,83,1688,75,100,100,3,4694,4062,479,,49414,1000,49414,48552,48552,,,1652,756,896
ATA Career Education,12,FL,1,1,0,2,2,2,2,1,,,,,100,226,63,93,0,,,,,,14895,3756,14895,13500,13500,,,226,17,209
ATA College,21,KY,1,1,0,2,2,2,2,1,,,,,44,337,33,98,0,,,,,,13930,3622,13930,13040,13040,,,337,8,329
ATA College,6,CA,1,1,0,2,2,2,2,1,,,,,88,106,86,72,0,,,,,,15000,3743,15000,14200,14200,,,178,5,173
ATA College,40,OK,1,1,0,2,2,2,2,1,,,,,84,178,67,91,0,,,,,,,,,,,9,0,106,52,54
ATA College-Cincinnati,39,OH,1,1,0,2,2,2,2,1,,,,,,264,71,97,0,,,,,,14075,3756,14075,13500,13500,,,264,17,247
Atelier Esthetique Institute of Esthetics,36,NY,1,1,-2,-2,-2,-2,-2,1,,,,,86,244,93,63,0,,,,,,,,,,,1,1050,131,1,130
Athena Career Academy,39,OH,1,1,0,2,2,2,2,2,,,60,33,59,395,61,87,3,3,150,90,30,,,,,,,5,1845,392,22,370
Athenaeum of Ohio,39,OH,2,2,0,2,2,2,2,1,,,,,,39,,,,,,,,,,,,,,,,,,
Athens State University,1,AL,1,2,0,2,2,2,2,-2,,,,,,2531,,,,,,,,,,,,7530,15060,,,1121,299,822
Athens Technical College,13,GA,1,1,0,2,2,2,2,1,,,,,73,4169,33,98,1,,,,,,5572,900,3172,2400,4800,,,714,327,387
ATI College-Whittier,6,CA,1,1,0,2,2,2,2,1,,,,,25,141,20,89,0,,,,,,,,,,,5,1015,115,11,104
Atlanta Institute of Music and Media,13,GA,1,1,0,2,2,2,2,1,,,,,32,264,26,65,0,,,,,,,,,,,4,,125,104,21
Atlanta Metropolitan State College,13,GA,1,1,0,2,2,2,2,1,20303,26929,,,37,1551,14,79,1,,,,,,9731,1350,3105,2426,9051,,,615,232,383
Atlanta School of Massage,13,GA,1,1,-2,-2,-2,-2,-2,1,,,,,86,319,58,84,0,,,,,,,,,,,2,3384,189,14,175
Atlanta Technical College,13,GA,1,1,0,2,2,2,2,1,,,,,60,3493,41,89,0,,,,,,5564,1500,3164,2400,4800,,,1135,522,613
Atlanta's John Marshall Law School,13,GA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Atlantic Cape Community College,34,NJ,1,1,0,2,2,2,2,1,,,,,59,4273,25,82,7,,,,,,7263,1976,6063,5950,7350,,,1737,725,1012
Atlantic Institute of Oriental Medicine,12,FL,1,2,0,2,2,2,2,-2,,,,,,74,,,,,,,,,,,,18000,18000,,,74,10,64
Atlantic Technical College,12,FL,1,1,-2,2,2,2,2,1,,,,,70,2953,56,79,2,,,,,,,,,,,37,1456,2953,2480,473
Atlantis University,12,FL,1,1,0,2,2,2,2,1,,,,,36,313,61,94,17,,,,,,12720,400,12720,10800,10800,,,313,260,53
Atlantis University-Florida Palms University,12,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn Career Center,39,OH,1,1,-2,-2,-2,-2,-2,1,,,,,87,234,76,54,11,,,,,,,,,,,13,1150,141,101,40
Auburn University,1,AL,1,1,1,1,1,1,1,2,35298,56706,50,24,93,26874,79,81,73,5,48178,24314,5916,17,33944,1200,12536,10704,32112,,,24135,11915,12220
Auburn University at Montgomery,1,AL,1,1,1,2,1,1,1,2,22782,33438,93,20,66,3407,36,99,97,5,2213,2050,408,3,20092,1500,9436,8568,19224,,,2422,811,1611
Augsburg University,27,MN,1,1,1,1,1,1,1,2,64610,64610,77,21,70,2445,52,100,100,3,4337,3319,683,,43942,1500,43942,43142,43142,,,2298,1026,1272
Augusta School of Massage,13,GA,1,1,-2,-2,-2,-2,-2,1,,,,,,27,79,68,0,,,,,,,,,,,1,,27,6,21
